driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
BOR,Audi,10.0,0 days 00:01:20.575000,0 days 00:00:28.531000,0 days 00:00:17.411000,0 days 00:00:34.633000,2.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026,80.575,28.531,17.411,34.633,106.892,-26.316999999999993,False
BOR,Audi,11.0,0 days 00:02:07.469000,0 days 00:00:37.426000,0 days 00:00:31.772000,0 days 00:00:58.271000,2.0,SOFT,11.0,1,Australian Grand Prix,FP3,2026,127.469,37.426,31.772,58.271,106.892,20.576999999999998,False
BOR,Audi,12.0,,0 days 00:00:28.680000,0 days 00:00:17.716000,,2.0,SOFT,12.0,12,Australian Grand Prix,FP3,2026,,28.68,17.716,,106.892,,False
BOR,Audi,13.0,0 days 00:01:42.190000,0 days 00:00:39.183000,0 days 00:00:20.501000,0 days 00:00:42.506000,3.0,SOFT,1.0,12,Australian Grand Prix,FP3,2026,102.19,39.183,20.501,42.506,106.892,-4.701999999999998,True
BOR,Audi,14.0,,,,,3.0,SOFT,2.0,251,Australian Grand Prix,FP3,2026,,,,,106.892,,False
BOR,Audi,15.0,0 days 00:02:08.955000,0 days 00:01:09.333000,0 days 00:00:20.585000,0 days 00:00:39.037000,4.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,128.955,69.333,20.585,39.037,106.892,22.063000000000017,True
BOR,Audi,16.0,0 days 00:01:20.459000,0 days 00:00:28.420000,0 days 00:00:17.505000,0 days 00:00:34.534000,4.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,80.459,28.42,17.505,34.534,106.892,-26.432999999999993,False
BOR,Audi,17.0,0 days 00:01:51.594000,0 days 00:00:43.720000,0 days 00:00:21.031000,0 days 00:00:46.843000,4.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,111.594,43.72,21.031,46.843,106.892,4.701999999999998,False
BOR,Audi,18.0,,0 days 00:00:35.841000,0 days 00:00:21.282000,,4.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026,,35.841,21.282,,106.892,,False
BOR,Audi,19.0,,0 days 00:00:35.910000,0 days 00:00:21.039000,,4.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026,,35.91,21.039,,106.892,,False
BOT,Cadillac,1.0,0 days 00:02:14.017000,0 days 00:01:07.685000,0 days 00:00:21.286000,0 days 00:00:45.046000,1.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,134.017,67.685,21.286,45.046,120.31,13.706999999999994,True
BOT,Cadillac,2.0,0 days 00:01:25.146000,0 days 00:00:30.445000,0 days 00:00:18.246000,0 days 00:00:36.455000,1.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,85.146,30.445,18.246,36.455,120.31,-35.164,False
BOT,Cadillac,3.0,0 days 00:02:00.310000,0 days 00:00:45.595000,0 days 00:00:26.730000,0 days 00:00:47.985000,1.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,120.31,45.595,26.73,47.985,120.31,0.0,False
BOT,Cadillac,4.0,0 days 00:01:24.583000,0 days 00:00:30.055000,0 days 00:00:18.241000,0 days 00:00:36.287000,1.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,84.583,30.055,18.241,36.287,120.31,-35.727000000000004,False
BOT,Cadillac,5.0,0 days 00:02:09.748000,0 days 00:00:36.521000,0 days 00:00:21.955000,0 days 00:01:11.272000,1.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026,129.748,36.521,21.955,71.272,120.31,9.437999999999988,False
BOT,Cadillac,6.0,0 days 00:02:05.549000,0 days 00:00:47.463000,0 days 00:00:23.362000,0 days 00:00:54.724000,2.0,SOFT,6.0,12,Australian Grand Prix,FP3,2026,125.549,47.463,23.362,54.724,120.31,5.239000000000004,True
BOT,Cadillac,7.0,0 days 00:01:24.275000,0 days 00:00:29.917000,0 days 00:00:18.109000,0 days 00:00:36.249000,2.0,SOFT,7.0,21,Australian Grand Prix,FP3,2026,84.275,29.917,18.109,36.249,120.31,-36.035,False
BOT,Cadillac,8.0,,0 days 00:00:34.259000,0 days 00:00:20.539000,,2.0,SOFT,8.0,125,Australian Grand Prix,FP3,2026,,34.259,20.539,,120.31,,False
BOT,Cadillac,9.0,0 days 00:02:15.321000,0 days 00:01:09.151000,0 days 00:00:20.602000,0 days 00:00:45.568000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026,135.321,69.151,20.602,45.568,120.31,15.010999999999996,True
BOT,Cadillac,10.0,0 days 00:01:23.514000,0 days 00:00:29.481000,0 days 00:00:18.237000,0 days 00:00:35.796000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026,83.514,29.481,18.237,35.796,120.31,-36.79600000000001,False
BOT,Cadillac,11.0,,0 days 00:00:38.284000,0 days 00:00:24.553000,,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026,,38.284,24.553,,120.31,,False
BOT,Cadillac,12.0,,0 days 00:00:32.602000,0 days 00:00:18.658000,,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026,,32.602,18.658,,120.31,,False
COL,Alpine,1.0,,,0 days 00:00:20.716000,0 days 00:00:43.004000,1.0,HARD,1.0,1,Australian Grand Prix,FP3,2026,,,20.716,43.004,113.0635,,True
COL,Alpine,2.0,0 days 00:01:24.222000,0 days 00:00:29.853000,0 days 00:00:18.191000,0 days 00:00:36.178000,1.0,HARD,2.0,1,Australian Grand Prix,FP3,2026,84.222,29.853,18.191,36.178,113.0635,-28.84150000000001,False
COL,Alpine,3.0,0 days 00:01:57.822000,0 days 00:00:51.056000,0 days 00:00:23.564000,0 days 00:00:43.202000,1.0,HARD,3.0,1,Australian Grand Prix,FP3,2026,117.822,51.056,23.564,43.202,113.0635,4.758499999999998,False
COL,Alpine,4.0,0 days 00:01:23.071000,0 days 00:00:29.412000,0 days 00:00:18.033000,0 days 00:00:35.626000,1.0,HARD,4.0,1,Australian Grand Prix,FP3,2026,83.071,29.412,18.033,35.626,113.0635,-29.992500000000007,False
COL,Alpine,5.0,0 days 00:02:29.344000,0 days 00:00:53.062000,0 days 00:00:39.509000,0 days 00:00:56.773000,1.0,HARD,5.0,12,Australian Grand Prix,FP3,2026,149.344,53.062,39.509,56.773,113.0635,36.28049999999999,False
