Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,48.0,0 days 00:01:22.953000,0 days 00:00:29.106000,0 days 00:00:17.743000,0 days 00:00:36.104000,3.0,MEDIUM,14.0,1,Australian Grand Prix,R,2026
NOR,McLaren,49.0,0 days 00:01:22.804000,0 days 00:00:29.043000,0 days 00:00:17.880000,0 days 00:00:35.881000,3.0,MEDIUM,15.0,1,Australian Grand Prix,R,2026
NOR,McLaren,50.0,0 days 00:01:22.763000,0 days 00:00:29.057000,0 days 00:00:17.845000,0 days 00:00:35.861000,3.0,MEDIUM,16.0,1,Australian Grand Prix,R,2026
NOR,McLaren,51.0,0 days 00:01:22.598000,0 days 00:00:29.032000,0 days 00:00:17.854000,0 days 00:00:35.712000,3.0,MEDIUM,17.0,1,Australian Grand Prix,R,2026
NOR,McLaren,52.0,0 days 00:01:22.784000,0 days 00:00:29.077000,0 days 00:00:17.781000,0 days 00:00:35.926000,3.0,MEDIUM,18.0,1,Australian Grand Prix,R,2026
NOR,McLaren,53.0,0 days 00:01:22.358000,0 days 00:00:28.979000,0 days 00:00:17.780000,0 days 00:00:35.599000,3.0,MEDIUM,19.0,1,Australian Grand Prix,R,2026
NOR,McLaren,54.0,0 days 00:01:22.796000,0 days 00:00:29.006000,0 days 00:00:17.779000,0 days 00:00:36.011000,3.0,MEDIUM,20.0,1,Australian Grand Prix,R,2026
NOR,McLaren,55.0,0 days 00:01:22.867000,0 days 00:00:29.076000,0 days 00:00:17.822000,0 days 00:00:35.969000,3.0,MEDIUM,21.0,1,Australian Grand Prix,R,2026
NOR,McLaren,56.0,0 days 00:01:22.843000,0 days 00:00:29.096000,0 days 00:00:17.831000,0 days 00:00:35.916000,3.0,MEDIUM,22.0,1,Australian Grand Prix,R,2026
NOR,McLaren,57.0,0 days 00:01:23.416000,0 days 00:00:29.563000,0 days 00:00:17.762000,0 days 00:00:36.091000,3.0,MEDIUM,23.0,1,Australian Grand Prix,R,2026
NOR,McLaren,58.0,0 days 00:01:23.046000,0 days 00:00:29.171000,0 days 00:00:17.845000,0 days 00:00:36.030000,3.0,MEDIUM,24.0,1,Australian Grand Prix,R,2026
GAS,Alpine,1.0,,,0 days 00:00:18.682000,0 days 00:00:38.910000,1.0,MEDIUM,1.0,1,Australian Grand Prix,R,2026
GAS,Alpine,2.0,0 days 00:01:27.281000,0 days 00:00:31.136000,0 days 00:00:17.996000,0 days 00:00:38.149000,1.0,MEDIUM,2.0,1,Australian Grand Prix,R,2026
GAS,Alpine,3.0,0 days 00:01:26.371000,0 days 00:00:30.613000,0 days 00:00:17.818000,0 days 00:00:37.940000,1.0,MEDIUM,3.0,1,Australian Grand Prix,R,2026
GAS,Alpine,4.0,0 days 00:01:25.894000,0 days 00:00:30.427000,0 days 00:00:17.771000,0 days 00:00:37.696000,1.0,MEDIUM,4.0,1,Australian Grand Prix,R,2026
GAS,Alpine,5.0,0 days 00:01:27.040000,0 days 00:00:30.983000,0 days 00:00:17.647000,0 days 00:00:38.410000,1.0,MEDIUM,5.0,1,Australian Grand Prix,R,2026
GAS,Alpine,6.0,0 days 00:01:25.989000,0 days 00:00:30.696000,0 days 00:00:17.800000,0 days 00:00:37.493000,1.0,MEDIUM,6.0,1,Australian Grand Prix,R,2026
GAS,Alpine,7.0,0 days 00:01:25.079000,0 days 00:00:29.873000,0 days 00:00:17.815000,0 days 00:00:37.391000,1.0,MEDIUM,7.0,1,Australian Grand Prix,R,2026
GAS,Alpine,8.0,0 days 00:01:24.964000,0 days 00:00:29.969000,0 days 00:00:17.697000,0 days 00:00:37.298000,1.0,MEDIUM,8.0,1,Australian Grand Prix,R,2026
GAS,Alpine,9.0,0 days 00:01:25.441000,0 days 00:00:30.052000,0 days 00:00:17.651000,0 days 00:00:37.738000,1.0,MEDIUM,9.0,1,Australian Grand Prix,R,2026
GAS,Alpine,10.0,0 days 00:01:26.669000,0 days 00:00:30.475000,0 days 00:00:17.800000,0 days 00:00:38.394000,1.0,MEDIUM,10.0,1,Australian Grand Prix,R,2026
GAS,Alpine,11.0,0 days 00:01:44.821000,0 days 00:00:30.082000,0 days 00:00:17.797000,0 days 00:00:56.942000,1.0,MEDIUM,11.0,16,Australian Grand Prix,R,2026
GAS,Alpine,12.0,0 days 00:01:58.072000,0 days 00:00:42.291000,0 days 00:00:29.532000,0 days 00:00:46.249000,2.0,HARD,1.0,6,Australian Grand Prix,R,2026
GAS,Alpine,13.0,0 days 00:01:51.634000,0 days 00:00:40.653000,0 days 00:00:30.489000,0 days 00:00:40.492000,2.0,HARD,2.0,671,Australian Grand Prix,R,2026
GAS,Alpine,14.0,0 days 00:01:25.748000,0 days 00:00:30.752000,0 days 00:00:17.982000,0 days 00:00:37.014000,2.0,HARD,3.0,1,Australian Grand Prix,R,2026
GAS,Alpine,15.0,0 days 00:01:24.823000,0 days 00:00:29.928000,0 days 00:00:17.954000,0 days 00:00:36.941000,2.0,HARD,4.0,1,Australian Grand Prix,R,2026
