Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
ANT,Mercedes,9.0,0 days 00:01:42.207000,0 days 00:00:42.908000,0 days 00:00:19.645000,0 days 00:00:39.654000,3.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,10.0,0 days 00:01:19.435000,0 days 00:00:28.002000,0 days 00:00:17.497000,0 days 00:00:33.936000,3.0,SOFT,5.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,11.0,,0 days 00:00:42.834000,0 days 00:00:21.402000,,3.0,SOFT,6.0,12,Australian Grand Prix,Q,2026
ANT,Mercedes,12.0,0 days 00:01:42.729000,0 days 00:00:41.705000,0 days 00:00:19.802000,0 days 00:00:41.222000,4.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,13.0,,0 days 00:00:27.637000,,,4.0,SOFT,2.0,152,Australian Grand Prix,Q,2026
ANT,Mercedes,14.0,,,0 days 00:00:20.849000,0 days 00:00:40.285000,5.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,15.0,,0 days 00:00:33.411000,0 days 00:00:25.690000,,5.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,16.0,0 days 00:01:36.911000,0 days 00:00:37.877000,0 days 00:00:19.532000,0 days 00:00:39.502000,6.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,17.0,0 days 00:01:18.811000,0 days 00:00:27.556000,0 days 00:00:17.440000,0 days 00:00:33.815000,6.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,18.0,,0 days 00:00:33.233000,0 days 00:00:24.050000,,6.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,1.0,0 days 00:02:06.258000,0 days 00:01:01.485000,0 days 00:00:20.141000,0 days 00:00:44.632000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,2.0,0 days 00:01:21.232000,0 days 00:00:28.774000,0 days 00:00:17.849000,0 days 00:00:34.609000,1.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,3.0,0 days 00:01:49.724000,0 days 00:00:38.668000,0 days 00:00:22.908000,0 days 00:00:48.148000,1.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,4.0,0 days 00:01:37.484000,0 days 00:00:33.785000,0 days 00:00:20.231000,0 days 00:00:43.468000,1.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,5.0,0 days 00:01:20.448000,0 days 00:00:28.195000,0 days 00:00:17.929000,0 days 00:00:34.324000,1.0,SOFT,5.0,1,Australian Grand Prix,Q,2026
