Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
HAD,Red Bull Racing,2.0,0 days 00:01:21.311000,0 days 00:00:28.601000,0 days 00:00:17.632000,0 days 00:00:35.078000,1.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,3.0,0 days 00:01:51.551000,0 days 00:00:46.499000,0 days 00:00:22.494000,0 days 00:00:42.558000,1.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,4.0,0 days 00:01:54.581000,0 days 00:00:35.968000,0 days 00:00:23.627000,0 days 00:00:54.986000,1.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,5.0,0 days 00:01:20.691000,0 days 00:00:28.291000,0 days 00:00:17.750000,0 days 00:00:34.650000,1.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,6.0,0 days 00:01:54.491000,0 days 00:00:45.766000,0 days 00:00:29.531000,0 days 00:00:39.194000,1.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,7.0,0 days 00:01:21.263000,0 days 00:00:28.472000,0 days 00:00:17.801000,0 days 00:00:34.990000,1.0,SOFT,7.0,12,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,8.0,0 days 00:01:22.449000,0 days 00:00:29.132000,0 days 00:00:18.185000,0 days 00:00:35.132000,1.0,SOFT,8.0,21,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,9.0,0 days 00:01:22.025000,0 days 00:00:28.776000,0 days 00:00:18.181000,0 days 00:00:35.068000,1.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,10.0,0 days 00:01:22.175000,0 days 00:00:28.778000,0 days 00:00:18.305000,0 days 00:00:35.092000,1.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,11.0,,0 days 00:00:28.659000,0 days 00:00:18.870000,,1.0,SOFT,11.0,125,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,12.0,0 days 00:01:57.347000,0 days 00:00:53.317000,0 days 00:00:21.455000,0 days 00:00:42.575000,2.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,13.0,0 days 00:01:20.137000,0 days 00:00:28.097000,0 days 00:00:17.725000,0 days 00:00:34.315000,2.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,14.0,,0 days 00:00:47.626000,0 days 00:00:29.229000,0 days 00:01:31.519000,2.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
HAD,Red Bull Racing,15.0,,0 days 00:00:31.781000,0 days 00:00:18.331000,,2.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,1.0,0 days 00:01:43.838000,0 days 00:00:41.143000,0 days 00:00:20.609000,0 days 00:00:42.086000,1.0,HARD,1.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,2.0,0 days 00:01:23.473000,0 days 00:00:29.520000,0 days 00:00:17.934000,0 days 00:00:36.019000,1.0,HARD,2.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,3.0,0 days 00:01:46.504000,0 days 00:00:39.122000,0 days 00:00:23.223000,0 days 00:00:44.159000,1.0,HARD,3.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,4.0,0 days 00:01:22.663000,0 days 00:00:29.049000,0 days 00:00:17.909000,0 days 00:00:35.705000,1.0,HARD,4.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,5.0,0 days 00:02:21.191000,0 days 00:00:54.088000,0 days 00:00:30.931000,0 days 00:00:56.172000,1.0,HARD,5.0,12,Australian Grand Prix,FP3,2026
GAS,Alpine,6.0,0 days 00:01:55.499000,0 days 00:00:37.326000,0 days 00:00:26.248000,0 days 00:00:51.925000,1.0,HARD,6.0,26,Australian Grand Prix,FP3,2026
GAS,Alpine,7.0,0 days 00:01:57.575000,0 days 00:00:36.816000,0 days 00:00:25.484000,0 days 00:00:55.275000,1.0,HARD,7.0,6,Australian Grand Prix,FP3,2026
GAS,Alpine,8.0,,,,,1.0,HARD,8.0,6512,Australian Grand Prix,FP3,2026
GAS,Alpine,9.0,0 days 00:02:14.603000,0 days 00:01:13.026000,0 days 00:00:20.214000,0 days 00:00:41.363000,2.0,HARD,9.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,10.0,0 days 00:01:26.532000,0 days 00:00:30.537000,0 days 00:00:18.385000,0 days 00:00:37.610000,2.0,HARD,10.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,11.0,0 days 00:01:40.613000,0 days 00:00:34.708000,0 days 00:00:20.255000,0 days 00:00:45.650000,2.0,HARD,11.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,12.0,0 days 00:01:23.046000,0 days 00:00:29.259000,0 days 00:00:17.919000,0 days 00:00:35.868000,2.0,HARD,12.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,13.0,0 days 00:01:26.225000,0 days 00:00:30.421000,0 days 00:00:18.617000,0 days 00:00:37.187000,2.0,HARD,13.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,14.0,0 days 00:01:24.539000,0 days 00:00:29.717000,0 days 00:00:18.119000,0 days 00:00:36.703000,2.0,HARD,14.0,1,Australian Grand Prix,FP3,2026
